 Data from HASI_L4_ATMO_PROFILE_DESCEN.TAB
 Huygens Atmospheric Structure Instrument (HASI)
 Extended below 3 m assuming a constant temperature lapse rate
 and an ideal gas, based on the two lowest-altitude measured points.
 Columns are altitude, pressure, temperature, density.

 1827

  z[m]        p[Pa]  T[K]      rho[kg/m^3]
   47688.0   8953.0   70.4289  0.4256000
   47615.0   8995.0   70.4483  0.4278300
   47542.0   9037.0   70.4761  0.4296300
   47469.0   9078.0   70.5225  0.4314500
   47396.0   9119.0   70.5474  0.4333700
   47324.0   9162.0   70.5423  0.4351100
   47251.0   9203.0   70.4800  0.4367700
   47098.0   9292.0   70.3374  0.4415500
   47026.0   9335.0   70.3335  0.4439600
   46955.0   9377.0   70.3571  0.4463400
   46883.0   9421.0   70.3839  0.4485200
   46811.0   9462.0   70.3823  0.4503000
   46740.0   9506.0   70.4087  0.4523800
   46669.0   9547.0   70.4428  0.4542400
   46598.0   9590.0   70.3990  0.4563100
   46527.0   9635.0   70.3665  0.4580800
   46456.0   9676.0   70.3782  0.4601400
   46386.0   9720.0   70.3677  0.4626500
   46316.0   9763.0   70.3896  0.4645700
   46246.0   9807.0   70.4329  0.4666700
   46176.0   9849.0   70.4460  0.4685900
   46107.0   9893.0   70.4517  0.4705300
   46038.0   9934.0   70.4401  0.4723700
   45968.0   9980.0   70.4566  0.4745800
   45899.0  10023.0   70.4573  0.4764400
   45830.0  10066.0   70.4425  0.4785200
   45761.0  10111.0   70.4178  0.4807000
   45692.0  10154.0   70.3612  0.4827700
   45623.0  10198.0   70.3565  0.4850600
   45554.0  10242.0   70.3736  0.4876200
   45485.0  10284.0   70.3808  0.4898800
   45417.0  10328.0   70.3926  0.4920400
   45348.0  10373.0   70.4088  0.4939800
   45280.0  10419.0   70.4243  0.4960300
   45135.0  10514.0   70.4213  0.5003500
   45067.0  10559.0   70.3906  0.5025100
   45000.0  10604.0   70.3520  0.5046300
   44933.0  10649.0   70.3576  0.5069400
   44866.0  10693.0   70.3689  0.5093700
   44799.0  10739.0   70.3806  0.5116700
   44732.0  10784.0   70.3934  0.5136900
   44665.0  10832.0   70.3938  0.5157200
   44599.0  10878.0   70.4169  0.5177200
   44532.0  10923.0   70.4510  0.5199200
   44466.0  10969.0   70.4655  0.5221100
   44400.0  11014.0   70.4718  0.5240700
   44334.0  11059.0   70.4988  0.5261400
   44268.0  11105.0   70.4863  0.5283200
   44202.0  11152.0   70.4694  0.5303400
   44137.0  11198.0   70.4494  0.5324300
   44071.0  11242.0   70.4092  0.5347900
   44006.0  11289.0   70.4201  0.5373200
   43868.0  11390.0   70.4260  0.5421100
   43803.0  11437.0   70.4363  0.5443400
   43738.0  11482.0   70.4543  0.5465900
   43674.0  11529.0   70.4718  0.5488900
   43609.0  11574.0   70.4706  0.5510300
   43545.0  11621.0   70.4415  0.5531700
   43480.0  11669.0   70.4512  0.5553700
   43416.0  11716.0   70.4051  0.5576700
   43352.0  11764.0   70.4218  0.5599900
   43288.0  11812.0   70.4218  0.5624600
   43225.0  11860.0   70.4013  0.5647500
   43161.0  11907.0   70.4111  0.5670100
   43097.0  11954.0   70.3797  0.5694900
   43034.0  12002.0   70.3575  0.5718700
   42970.0  12049.0   70.3600  0.5742800
   42907.0  12098.0   70.3818  0.5767500
   42844.0  12144.0   70.4043  0.5790900
   42781.0  12194.0   70.4049  0.5814700
   42718.0  12240.0   70.3995  0.5835100
   42655.0  12288.0   70.3819  0.5858300
   42593.0  12339.0   70.3514  0.5882000
   42530.0  12388.0   70.3615  0.5903600
   42468.0  12438.0   70.3840  0.5929800
   42406.0  12485.0   70.3923  0.5954200
   42344.0  12534.0   70.4079  0.5977300
   42282.0  12583.0   70.4177  0.6000000
   42221.0  12632.0   70.4074  0.6021600
   42084.0  12739.0   70.3973  0.6074800
   42023.0  12789.0   70.3905  0.6098600
   41962.0  12837.0   70.4068  0.6121800
   41902.0  12887.0   70.4272  0.6146100
   41841.0  12937.0   70.4081  0.6168900
