   Data from
     Borysow A, 2002, Collision-induced absorption coefficients
       of H2 pairs at temperatures from 60 K to 1000 K,
       Astron. Astrophys. 390, 779-782, doi: 10.1051/0004-6361:20020555
  
   No. temperatures:    7
   No. rows:         1649
   What follows was obtained in August 2011 from the link
     http://www.astro.ku.dk/~aborysow/programs/final_CIA_LT.dat

     CIA spectra of H2-H2 from 60 to 350K, in  cm^{-1}/amagat^{2}
     freq  60K       100K     150K       200K      250K      300K      350K
   (cm^-1) 
  1350.0 1.879E-08 4.086E-08 8.197E-08 1.460E-07 2.524E-07 4.025E-07 5.941E-07
  1360.0 1.740E-08 3.821E-08 7.818E-08 1.398E-07 2.409E-07 3.844E-07 5.688E-07
  1370.0 1.615E-08 3.597E-08 7.501E-08 1.344E-07 2.304E-07 3.678E-07 5.454E-07
  1380.0 1.501E-08 3.407E-08 7.228E-08 1.295E-07 2.206E-07 3.523E-07 5.236E-07
  1390.0 1.397E-08 3.239E-08 6.973E-08 1.248E-07 2.113E-07 3.377E-07 5.030E-07
  1400.0 1.303E-08 3.078E-08 6.710E-08 1.200E-07 2.022E-07 3.238E-07 4.836E-07
  1410.0 1.216E-08 2.912E-08 6.419E-08 1.149E-07 1.931E-07 3.102E-07 4.649E-07
  1420.0 1.136E-08 2.737E-08 6.097E-08 1.095E-07 1.839E-07 2.968E-07 4.467E-07
  1430.0 1.063E-08 2.557E-08 5.750E-08 1.039E-07 1.747E-07 2.837E-07 4.290E-07
  1440.0 9.959E-09 2.381E-08 5.393E-08 9.821E-08 1.657E-07 2.708E-07 4.115E-07
  1450.0 9.340E-09 2.214E-08 5.041E-08 9.253E-08 1.568E-07 2.582E-07 3.942E-07
  1460.0 8.770E-09 2.060E-08 4.704E-08 8.704E-08 1.483E-07 2.458E-07 3.772E-07
  1470.0 8.246E-09 1.920E-08 4.388E-08 8.182E-08 1.403E-07 2.339E-07 3.605E-07
  1480.0 7.766E-09 1.794E-08 4.098E-08 7.694E-08 1.327E-07 2.225E-07 3.444E-07
  1490.0 7.328E-09 1.682E-08 3.834E-08 7.244E-08 1.257E-07 2.117E-07 3.288E-07
  1500.0 6.930E-09 1.584E-08 3.597E-08 6.832E-08 1.192E-07 2.016E-07 3.140E-07
  1510.0 6.574E-09 1.497E-08 3.385E-08 6.461E-08 1.133E-07 1.922E-07 3.001E-07
  1520.0 6.261E-09 1.422E-08 3.198E-08 6.128E-08 1.080E-07 1.835E-07 2.870E-07
  1530.0 5.993E-09 1.358E-08 3.033E-08 5.834E-08 1.032E-07 1.756E-07 2.748E-07
  1540.0 5.775E-09 1.304E-08 2.890E-08 5.577E-08 9.903E-08 1.684E-07 2.635E-07
  1550.0 5.609E-09 1.260E-08 2.767E-08 5.355E-08 9.534E-08 1.619E-07 2.531E-07
  1560.0 5.501E-09 1.226E-08 2.663E-08 5.166E-08 9.215E-08 1.561E-07 2.435E-07
  1570.0 5.453E-09 1.199E-08 2.576E-08 5.008E-08 8.940E-08 1.509E-07 2.347E-07
  1580.0 5.466E-09 1.180E-08 2.504E-08 4.876E-08 8.701E-08 1.462E-07 2.265E-07
  1590.0 5.533E-09 1.166E-08 2.445E-08 4.765E-08 8.489E-08 1.419E-07 2.189E-07
  1600.0 5.642E-09 1.156E-08 2.394E-08 4.664E-08 8.290E-08 1.378E-07 2.116E-07
  1610.0 5.776E-09 1.149E-08 2.347E-08 4.565E-08 8.091E-08 1.337E-07 2.045E-07
  1620.0 5.911E-09 1.142E-08 2.298E-08 4.458E-08 7.878E-08 1.296E-07 1.974E-07
  1630.0 6.023E-09 1.133E-08 2.243E-08 4.333E-08 7.641E-08 1.252E-07 1.902E-07
  1640.0 6.088E-09 1.122E-08 2.179E-08 4.190E-08 7.377E-08 1.206E-07 1.829E-07
  1650.0 6.094E-09 1.106E-08 2.108E-08 4.029E-08 7.089E-08 1.158E-07 1.755E-07
