 LIMAYE.DAT
 S. S. Limaye:  "Jupiter:  New Estimates of the Mean Zonal Flow 
 at the Cloud Level,"  Icarus 65, 335-352 (1986).
  Latitude          North           South
  gra   cen     [u]  rms  N     [u]  rms  N
 25.71 22.61   79.2  6.2 121   31.5  5.4 123
 25.58 22.49   84.0  7.1 121   29.6  5.6 121
 25.44 22.36   89.0  6.5 117   27.5  5.6 122
 25.30 22.24   94.2  7.8 116   25.4  5.2 121
 25.17 22.11   99.9  8.3 110   23.2  5.0 120
 25.03 21.99  106.2  9.5 113   20.8  5.3 117
 24.89 21.87  113.1 10.8 108   18.5  5.4 120
 24.76 21.74  120.5 11.6  94   16.5  4.7 115
 24.62 21.62  129.5 12.2  62   14.6  5.5 109
 24.48 21.50  140.1 13.2  58   12.7  5.9 101
 24.35 21.37  149.5 11.0  80   10.6  6.8 108
 24.21 21.25  155.3 10.0  94    8.5  6.7 110
 24.07 21.13  159.2 11.2  99    6.4  4.4 109
 23.94 21.00  161.8  9.6  96    4.4  4.6 108
 23.80 20.88  163.0  7.3 109    2.3  4.4 106
 23.67 20.76  162.3  5.6 119    0.1  5.6 114
 23.53 20.64  160.1  5.2 123   -2.5  4.3 117
 23.40 20.51  156.8  5.2 126   -5.5  4.9 120
 23.26 20.39  153.1  5.1 125   -8.6  5.6 123
 23.12 20.27  149.2  4.9 125  -11.8  6.1 122
 22.99 20.15  144.6  5.0 124  -14.9  6.7 122
 22.85 20.03  139.1  6.0 126  -17.9  7.8 124
 22.72 19.91  132.6  6.7 123  -20.8  8.0 124
 22.58 19.78  125.3  7.3 124  -23.4  7.6 123
 22.45 19.66  117.6  6.4 124  -25.8  7.8 123
 22.31 19.54  110.1  6.8 125  -27.9  7.7 124
 22.18 19.42  102.8  6.3 125  -29.8  7.4 124
 22.04 19.30   95.7  6.8 126  -31.7  7.0 123
 21.91 19.18   89.3  6.4 126  -33.5  6.9 124
 21.78 19.06   83.5  5.8 126  -35.4  6.9 123
 21.64 18.94   78.0  5.8 126  -37.4  6.5 124
 21.51 18.82   72.2  6.1 126  -39.6  5.7 124
 21.37 18.70   66.0  5.7 124  -42.1  5.1 124
 21.24 18.58   59.6  6.5 126  -44.4  5.4 124
 21.10 18.46   53.2  6.2 126  -46.7  4.8 124
 20.97 18.34   46.9  5.8 126  -48.9  4.2 124
 20.84 18.22   40.6  6.6 126  -51.0  4.4 124
 20.70 18.10   34.5  5.8 126  -52.8  4.0 124
 20.57 17.98   29.0  5.6 124  -54.2  4.1 124
 20.43 17.86   23.9  5.0 124  -55.4  4.5 123
 20.30 17.74   19.0  5.7 126  -56.0  4.8 125
 20.17 17.62   14.6  4.9 126  -56.4  4.0 123
 20.03 17.50   10.9  4.5 126  -56.6  4.2 123
 19.90 17.38    7.6  4.3 126  -56.5  4.5 123
 19.77 17.26    4.7  4.4 126  -56.0  5.5 124
 19.63 17.15    2.1  4.3 126  -55.3  5.2 124
 19.50 17.03   -0.4  4.2 127  -54.6  5.3 124
 19.37 16.91   -3.0  4.3 126  -53.6  6.0 124
 19.23 16.79   -5.6  4.1 126  -52.5  6.5 124
 19.10 16.67   -8.1  4.0 126  -51.3  7.1 124
 18.97 16.55  -10.6  4.2 126  -50.1  6.8 123
 18.83 16.44  -12.9  4.2 126  -48.9  7.5 122
 18.70 16.32  -15.3  4.3 126  -47.9  7.6 122
 18.57 16.20  -17.5  4.6 126  -47.0  8.2 124
 18.44 16.08  -19.4  4.4 126  -45.9  8.4 124
 18.30 15.96  -21.0  4.3 126  -44.6  8.0 123
 18.17 15.85  -22.2  4.5 126  -43.1  8.4 122
 18.04 15.73  -23.3  4.6 126  -41.3  8.6 122
 17.91 15.61  -23.9  4.3 126  -39.2  8.7 123
 17.77 15.50  -24.2  4.2 126  -36.9  8.9 122
 17.64 15.38  -24.3  4.1 126  -34.3  9.5 123
 17.51 15.26  -23.8  4.5 126  -31.3  8.8 122
 17.38 15.14  -22.8  4.5 127  -28.2  8.1 122
 17.24 15.03  -21.4  5.3 127  -25.3  8.5 123
 17.11 14.91  -19.8  4.9 126  -22.8  8.4 123
 16.98 14.79  -17.9  4.8 126  -20.3  8.6 124
 16.85 14.68  -15.6  5.2 126  -17.6  7.5 123
 16.72 14.56  -13.2  5.6 126  -14.7  7.0 124
 16.58 14.44  -11.0  5.1 126  -12.0  6.2 124
 16.45 14.33   -9.1  4.8 125   -9.7  6.3 124
 16.32 14.21   -7.3  5.2 127   -7.4  6.0 124
 16.19 14.09   -5.7  4.9 126   -5.4  5.6 124
 16.06 13.98   -4.2  4.3 126   -3.3  5.2 124
 15.93 13.86   -2.8  3.7 126   -1.3  5.1 124
 15.79 13.75   -1.4  3.5 126    0.5  5.1 124
 15.66 13.63   -0.1  3.4 126    2.3  5.2 124
 15.53 13.52    1.2  3.3 126    4.0  5.0 124
 15.40 13.40    2.6  3.3 126    5.7  4.9 124
 15.27 13.28    4.2  3.4 126    7.3  5.4 124
 15.14 13.17    5.9  3.5 126    8.9  5.5 125
 15.01 13.05    7.7  3.7 126   10.6  5.7 125
 14.88 12.94    9.6  3.7 126   12.2  6.0 124
 14.74 12.82   11.8  4.0 126   13.7  6.4 124
 14.61 12.71   14.2  4.1 126   15.1  7.1 124
 14.48 12.59   16.8  4.4 126   15.9  7.2 124
 14.35 12.48   19.6  4.6 126   16.4  7.3 124
 14.22 12.36   22.5  4.9 126   16.6  7.5 124
 14.09 12.25   25.3  5.2 126   16.7  7.9 124
 13.96 12.13   27.9  5.4 126   16.8  8.5 125
 13.83 12.02   30.3  5.3 126   16.9  8.3 125
 13.70 11.90   32.4  5.3 126   17.1  8.0 125
 13.57 11.79   34.3  4.9 124   17.2  7.9 125
 13.44 11.67   36.0  4.5 126   17.5  7.5 125
 13.30 11.56   37.5  4.7 126   17.9  7.6 125
 13.17 11.44   38.8  4.6 126   18.3  7.5 125
 13.04 11.33   40.0  4.3 126   18.9  7.9 124
 12.91 11.22   41.3  4.8 126   19.4  7.6 124
 12.78 11.10   42.5  4.6 126   20.0  7.4 124
 12.65 10.99   43.7  4.9 126   20.8  7.7 125
 12.52 10.87   44.8  4.8 126   21.9  7.3 125
 12.39 10.76   45.8  4.9 126   23.3  7.0 125
 12.26 10.64   46.7  4.8 126   24.7  6.6 125
 12.13 10.53   47.5  4.6 126   26.2  6.3 124
 12.00 10.42   48.3  4.7 126   27.7  5.8 124
 11.87 10.30   49.1  5.0 126   29.2  6.5 125
